dia,data_iso,intensidade_gco2_kwh,emissoes_kt,producao_gwh,consumo_gwh,saldo_importador_gwh,bombagem_gwh,importacao_perc_consumo,intensidade_min,intensidade_max
27/01/2010,2010-01-27,151.0,26.1,172.81,170.61,-0.41,1.15,1.81,77.0,192.9
28/01/2010,2010-01-28,193.8,29.6,152.81,169.6,18.25,0.88,11.11,92.1,240.8
29/01/2010,2010-01-29,160.8,24.7,153.53,170.87,19.71,1.76,11.74,113.4,185.3
30/01/2010,2010-01-30,139.3,19.2,137.69,149.25,13.32,1.05,8.93,86.9,206.9
31/01/2010,2010-01-31,159.4,20.7,129.85,138.29,10.17,1.0,7.54,97.3,208.7
01/02/2010,2010-02-01,237.6,36.6,153.93,163.56,11.89,1.66,8.23,106.6,295.6
02/02/2010,2010-02-02,264.7,41.5,156.85,166.37,12.1,2.27,7.53,157.0,316.5
03/02/2010,2010-02-03,224.4,34.5,153.71,171.26,19.65,1.56,11.47,128.1,265.1
04/02/2010,2010-02-04,162.6,24.8,152.53,171.47,20.57,0.86,12.0,128.8,192.9
05/02/2010,2010-02-05,154.5,22.9,148.3,164.71,19.41,2.23,11.94,82.1,195.9
06/02/2010,2010-02-06,222.0,27.7,124.55,142.02,18.48,0.5,13.06,153.5,311.5
07/02/2010,2010-02-07,234.5,31.5,134.22,134.37,1.5,0.82,5.04,199.4,307.9
08/02/2010,2010-02-08,292.9,44.4,151.45,158.46,9.1,1.63,6.67,222.9,326.3
09/02/2010,2010-02-09,246.7,34.7,140.64,161.96,23.97,2.08,14.8,199.0,314.8
10/02/2010,2010-02-10,293.6,44.4,151.11,167.14,16.66,0.22,10.41,265.0,384.3
11/02/2010,2010-02-11,288.0,40.0,138.81,164.36,29.4,3.35,17.89,210.7,321.8
12/02/2010,2010-02-12,197.1,34.9,177.24,173.38,-0.63,2.71,3.08,145.3,226.5
13/02/2010,2010-02-13,225.8,40.3,178.38,152.03,-25.1,0.74,0.0,192.7,266.0
14/02/2010,2010-02-14,197.6,34.9,176.54,147.73,-27.82,0.54,0.0,162.7,226.9
15/02/2010,2010-02-15,207.4,40.9,197.19,168.25,-26.31,2.09,0.0,160.4,246.9
16/02/2010,2010-02-16,269.9,40.0,148.28,145.71,-0.79,1.14,4.45,225.7,321.5
17/02/2010,2010-02-17,266.8,42.7,160.19,169.07,9.82,0.58,6.12,247.5,314.2
18/02/2010,2010-02-18,270.4,45.6,168.69,174.19,7.11,1.19,4.83,245.1,290.9
19/02/2010,2010-02-19,235.9,40.3,170.96,169.21,0.44,1.71,3.28,196.3,255.6
20/02/2010,2010-02-20,161.9,25.3,156.15,150.0,-5.58,0.04,3.4,109.1,251.4
21/02/2010,2010-02-21,90.8,13.7,151.09,137.87,-10.41,2.06,1.33,72.7,125.7
22/02/2010,2010-02-22,123.2,21.1,171.08,161.56,-6.5,2.27,0.77,79.0,157.4
23/02/2010,2010-02-23,101.3,16.5,162.67,163.49,3.48,1.91,3.43,84.0,128.2
24/02/2010,2010-02-24,126.0,21.0,166.45,163.99,-0.28,1.54,3.08,86.9,159.4
25/02/2010,2010-02-25,115.3,19.0,164.82,161.45,-2.41,0.3,2.0,68.7,153.2
26/02/2010,2010-02-26,192.4,30.1,156.55,158.31,2.48,0.05,2.91,84.0,246.3
27/02/2010,2010-02-27,103.2,15.4,149.15,134.99,-13.41,0.0,0.12,64.4,151.7
28/02/2010,2010-02-28,111.5,15.5,138.69,132.69,-5.36,0.0,1.72,63.7,140.7
01/03/2010,2010-03-01,153.4,22.7,147.64,155.63,8.73,0.0,8.31,61.4,236.4
02/03/2010,2010-03-02,121.2,20.7,171.2,161.15,-9.4,0.0,0.85,77.9,157.7
03/03/2010,2010-03-03,194.6,31.7,162.76,160.63,-1.56,0.0,3.86,102.1,263.6
04/03/2010,2010-03-04,199.0,29.2,146.56,157.52,11.61,0.0,7.57,120.0,255.3
05/03/2010,2010-03-05,159.6,28.7,179.87,162.5,-16.83,0.0,0.51,121.4,185.4
06/03/2010,2010-03-06,113.1,18.0,159.47,141.01,-17.11,0.65,0.0,77.0,186.2
07/03/2010,2010-03-07,131.9,17.9,135.63,130.13,-3.65,0.9,2.86,90.1,170.0
08/03/2010,2010-03-08,159.3,25.6,160.63,159.08,0.31,1.09,2.08,81.1,224.4
09/03/2010,2010-03-09,166.0,26.1,157.1,161.68,6.32,1.08,7.5,85.4,225.8
10/03/2010,2010-03-10,177.9,26.2,147.49,161.84,15.86,0.86,11.04,114.5,225.3
11/03/2010,2010-03-11,169.0,25.8,152.87,161.32,10.31,1.08,8.22,117.8,217.3
12/03/2010,2010-03-12,181.1,28.1,155.16,159.08,5.51,0.99,5.3,124.9,220.5
13/03/2010,2010-03-13,149.5,21.4,143.15,138.95,-2.69,0.88,2.08,119.0,175.5
14/03/2010,2010-03-14,111.6,15.4,138.26,128.56,-8.04,1.01,1.66,86.3,139.9
15/03/2010,2010-03-15,163.7,24.2,147.82,151.52,5.37,1.1,8.16,96.5,208.3
16/03/2010,2010-03-16,187.6,27.6,147.24,153.97,9.19,1.82,9.72,122.3,240.5
17/03/2010,2010-03-17,205.5,31.5,153.37,152.65,0.11,0.33,2.78,153.1,236.5
18/03/2010,2010-03-18,162.9,24.1,147.65,151.62,5.56,1.0,6.69,126.7,191.7
19/03/2010,2010-03-19,132.2,21.4,161.73,150.89,-9.88,0.42,0.97,94.8,149.4
20/03/2010,2010-03-20,141.2,19.7,139.62,132.09,-5.06,1.97,4.15,111.7,188.0
21/03/2010,2010-03-21,223.2,28.0,125.43,118.12,-5.34,1.44,1.49,184.5,247.9
22/03/2010,2010-03-22,266.4,36.9,138.54,140.79,2.74,0.09,5.31,216.7,292.5
23/03/2010,2010-03-23,248.2,36.2,145.85,143.18,0.1,2.39,2.4,186.6,275.7
24/03/2010,2010-03-24,155.9,22.4,143.61,146.12,3.75,0.66,5.02,120.7,180.4
25/03/2010,2010-03-25,127.2,19.9,156.25,149.62,-3.48,2.54,0.3,66.3,157.3
26/03/2010,2010-03-26,108.7,16.4,151.23,151.19,1.96,1.37,2.74,90.0,121.3
27/03/2010,2010-03-27,160.6,20.3,126.5,129.07,3.88,0.73,3.33,87.5,211.0
28/03/2010,2010-03-28,152.1,18.0,118.04,111.69,-4.73,1.08,0.3,97.5,183.0
29/03/2010,2010-03-29,102.7,15.4,149.84,147.07,0.29,2.39,2.9,85.6,119.9
30/03/2010,2010-03-30,100.7,14.2,141.53,149.74,14.61,5.62,10.05,66.7,135.5
31/03/2010,2010-03-31,110.2,15.4,139.78,151.65,13.3,0.71,8.82,77.2,141.8
01/04/2010,2010-04-01,164.5,21.8,132.28,146.35,15.83,1.11,10.86,115.0,194.6
02/04/2010,2010-04-02,105.4,13.3,125.82,128.5,9.18,5.86,7.39,85.1,131.7
03/04/2010,2010-04-03,76.7,10.0,130.1,123.85,-5.21,0.4,0.74,64.3,93.0
04/04/2010,2010-04-04,91.9,10.6,115.02,110.46,-3.35,0.59,2.43,62.6,129.6
05/04/2010,2010-04-05,147.3,18.6,126.12,125.61,0.72,0.62,5.07,75.9,198.1
06/04/2010,2010-04-06,170.5,23.1,135.73,141.26,7.45,1.37,6.71,84.1,204.1
07/04/2010,2010-04-07,173.8,24.0,138.29,142.65,6.55,1.64,6.98,124.0,213.5
08/04/2010,2010-04-08,157.5,21.5,136.51,141.82,9.75,3.71,8.91,74.3,225.1
09/04/2010,2010-04-09,179.4,25.6,142.92,140.33,0.3,2.28,5.93,123.6,239.4
10/04/2010,2010-04-10,138.1,17.9,129.22,121.38,-4.72,2.5,1.15,117.6,159.1
11/04/2010,2010-04-11,132.2,14.6,110.28,111.32,2.86,1.12,5.07,101.5,158.7
12/04/2010,2010-04-12,163.7,21.1,128.7,136.94,10.43,1.64,8.94,109.6,188.6
13/04/2010,2010-04-13,153.8,22.5,146.26,141.12,-3.59,0.83,2.3,107.5,183.9
14/04/2010,2010-04-14,138.1,20.4,147.45,142.97,-2.88,1.05,0.14,92.7,166.0
15/04/2010,2010-04-15,137.9,20.2,146.53,143.0,-1.59,1.36,0.2,91.8,169.5
16/04/2010,2010-04-16,137.0,20.2,147.16,142.58,-1.45,2.56,0.28,93.3,171.1
17/04/2010,2010-04-17,162.4,20.5,126.08,123.07,-2.47,0.0,0.5,146.8,195.3
18/04/2010,2010-04-18,141.6,17.5,123.43,113.45,-8.11,1.19,0.16,103.7,165.7
19/04/2010,2010-04-19,225.6,31.4,139.02,137.09,-0.65,0.68,0.52,148.3,290.6
20/04/2010,2010-04-20,237.8,33.3,139.96,139.41,0.32,0.34,0.91,194.8,276.8
21/04/2010,2010-04-21,259.6,36.0,138.52,139.06,1.16,0.26,1.81,213.6,301.6
22/04/2010,2010-04-22,259.0,35.4,136.68,138.58,2.34,0.08,2.02,229.8,310.5
23/04/2010,2010-04-23,270.2,36.2,133.91,138.73,5.43,0.27,4.85,243.2,296.6
24/04/2010,2010-04-24,257.1,33.4,129.84,120.55,-8.92,0.0,0.0,230.6,293.0
25/04/2010,2010-04-25,252.0,29.1,115.57,109.56,-4.23,1.38,1.2,225.0,283.2
26/04/2010,2010-04-26,274.3,35.2,128.17,135.19,7.69,0.29,6.95,238.4,303.9
27/04/2010,2010-04-27,284.3,38.5,135.31,139.32,5.11,0.72,5.53,243.6,306.5
28/04/2010,2010-04-28,269.2,36.8,136.58,141.22,5.08,0.0,5.71,219.6,308.2
29/04/2010,2010-04-29,250.1,33.2,132.92,140.41,9.0,1.05,7.07,200.8,287.0
30/04/2010,2010-04-30,252.4,36.5,144.57,137.22,-6.11,0.81,0.61,209.2,281.4
01/05/2010,2010-05-01,190.7,22.5,118.14,113.11,-3.33,1.17,2.84,161.0,213.3
02/05/2010,2010-05-02,166.7,20.1,120.29,107.54,-11.33,0.9,0.44,132.9,213.5
03/05/2010,2010-05-03,158.9,22.4,141.23,131.81,-4.23,4.66,2.85,128.5,186.5
04/05/2010,2010-05-04,188.0,22.1,117.79,135.74,21.08,2.6,15.54,154.8,224.3
05/05/2010,2010-05-05,222.4,26.4,118.63,136.77,19.9,1.28,14.67,168.2,259.7
06/05/2010,2010-05-06,238.7,30.7,128.5,137.26,9.99,0.71,8.65,193.0,275.0
07/05/2010,2010-05-07,233.1,34.5,148.05,137.83,-9.29,0.44,1.91,176.8,282.6
08/05/2010,2010-05-08,203.6,27.1,132.98,122.59,-9.06,0.82,2.3,168.1,248.5
09/05/2010,2010-05-09,175.6,20.3,115.65,111.19,-1.89,2.07,5.11,136.6,213.7
10/05/2010,2010-05-10,231.6,29.7,128.32,134.97,7.81,0.71,5.92,187.2,261.8
11/05/2010,2010-05-11,239.3,30.6,127.82,138.83,11.69,0.18,8.74,214.7,265.7
12/05/2010,2010-05-12,224.2,29.4,131.25,138.25,8.35,0.86,7.28,187.4,265.1
13/05/2010,2010-05-13,231.4,32.6,140.75,135.73,-3.84,0.75,4.53,202.3,277.8
14/05/2010,2010-05-14,195.8,28.1,143.42,139.73,-2.42,0.64,1.51,162.6,239.6
15/05/2010,2010-05-15,168.5,20.4,120.76,120.8,5.16,4.52,6.77,144.3,201.3
16/05/2010,2010-05-16,189.9,20.4,107.69,110.61,4.89,1.42,6.74,167.2,216.4
17/05/2010,2010-05-17,254.0,31.6,124.33,134.42,11.54,0.93,8.86,201.2,285.1
18/05/2010,2010-05-18,264.1,35.3,133.8,139.16,6.56,0.74,5.94,232.4,283.0
19/05/2010,2010-05-19,239.4,30.0,125.44,142.25,18.38,1.13,13.05,166.1,278.8
20/05/2010,2010-05-20,215.5,30.9,143.4,143.8,2.82,1.96,4.85,142.2,264.8
21/05/2010,2010-05-21,262.2,38.8,147.83,144.48,-0.1,2.83,3.02,150.0,328.7
22/05/2010,2010-05-22,239.2,29.6,123.96,125.26,1.73,0.0,4.09,196.4,270.1
23/05/2010,2010-05-23,241.0,26.5,109.9,113.46,3.99,0.0,4.77,212.7,261.3
24/05/2010,2010-05-24,249.3,35.3,141.43,137.19,-3.1,0.7,3.53,222.5,283.8
25/05/2010,2010-05-25,271.2,40.4,148.96,140.49,-7.79,0.31,0.51,204.6,348.7
26/05/2010,2010-05-26,324.4,46.2,142.44,140.2,-1.45,0.46,2.31,299.8,359.4
27/05/2010,2010-05-27,320.6,44.7,139.51,139.72,1.95,1.36,3.77,288.6,365.8
28/05/2010,2010-05-28,304.9,43.3,142.13,138.61,-2.37,0.58,2.6,280.9,334.0
29/05/2010,2010-05-29,318.3,40.6,127.53,121.4,-5.57,0.21,1.75,270.7,377.3
30/05/2010,2010-05-30,324.0,39.2,121.02,112.76,-7.42,0.44,1.98,270.4,368.7
31/05/2010,2010-05-31,357.4,50.5,141.37,142.01,1.04,0.0,4.3,289.8,403.1
01/06/2010,2010-06-01,389.3,56.6,145.5,146.77,1.74,0.22,4.22,353.1,471.8
02/06/2010,2010-06-02,423.8,56.8,134.12,147.18,14.69,1.37,10.33,357.5,474.8
03/06/2010,2010-06-03,405.7,52.0,128.13,121.75,-5.25,0.87,3.31,337.5,483.6
04/06/2010,2010-06-04,410.6,57.9,140.9,135.6,-4.83,0.25,2.99,381.0,469.0
05/06/2010,2010-06-05,397.0,51.5,129.84,121.83,-7.73,0.02,1.44,326.2,485.6
06/06/2010,2010-06-06,364.7,43.0,117.79,111.82,-4.69,1.01,1.39,285.5,415.8
07/06/2010,2010-06-07,380.9,50.5,132.51,137.86,7.06,1.46,7.48,316.1,419.4
08/06/2010,2010-06-08,359.8,45.6,126.78,140.73,16.5,2.29,12.13,293.7,401.9
09/06/2010,2010-06-09,312.6,45.5,145.49,138.34,-2.27,4.63,2.75,253.8,377.6
10/06/2010,2010-06-10,339.8,41.2,121.27,116.68,-3.01,1.28,5.27,307.4,398.0
11/06/2010,2010-06-11,301.8,37.2,123.28,130.12,7.51,0.21,7.08,261.0,365.5
12/06/2010,2010-06-12,308.1,34.4,111.79,117.03,7.08,1.41,6.84,272.9,335.7
13/06/2010,2010-06-13,288.0,28.6,99.22,109.89,11.65,0.46,11.78,245.9,328.3
14/06/2010,2010-06-14,305.9,37.2,121.58,136.6,15.99,0.48,12.46,218.8,353.9
15/06/2010,2010-06-15,243.2,30.8,126.79,139.93,17.31,3.64,12.58,207.7,291.2
16/06/2010,2010-06-16,268.5,31.6,117.54,141.61,25.04,0.47,17.78,226.6,290.8
17/06/2010,2010-06-17,296.1,33.5,113.22,141.9,29.57,0.41,20.84,253.4,316.8
18/06/2010,2010-06-18,268.3,31.1,115.96,140.7,25.8,0.57,18.34,215.8,300.1
19/06/2010,2010-06-19,212.7,22.7,106.73,122.7,16.89,0.38,14.07,177.8,248.4
20/06/2010,2010-06-20,217.1,21.0,96.66,112.7,19.56,2.9,17.64,169.7,254.6
21/06/2010,2010-06-21,270.6,31.8,117.45,139.42,22.68,0.17,17.02,192.6,315.2
22/06/2010,2010-06-22,296.5,34.7,117.11,145.13,28.68,0.18,19.81,250.7,322.9
23/06/2010,2010-06-23,309.1,36.2,117.16,144.47,27.89,0.18,19.52,284.9,323.4
24/06/2010,2010-06-24,303.6,33.0,108.64,139.18,31.35,0.35,22.52,281.7,321.2
25/06/2010,2010-06-25,325.0,38.4,118.14,143.28,25.85,0.28,18.04,279.6,359.7
26/06/2010,2010-06-26,322.3,39.7,123.18,126.27,3.46,0.02,6.82,286.2,372.0
27/06/2010,2010-06-27,325.7,35.1,107.65,115.52,8.49,0.2,8.82,272.3,372.1
28/06/2010,2010-06-28,344.6,40.8,118.5,143.94,26.02,0.18,18.09,309.3,407.5
29/06/2010,2010-06-29,349.2,41.2,118.04,147.04,29.63,0.17,20.15,302.1,413.3
30/06/2010,2010-06-30,346.6,44.4,128.25,150.23,22.7,0.33,15.11,297.2,414.0
01/07/2010,2010-07-01,322.3,38.6,119.83,149.28,30.3,0.27,20.3,283.8,375.1
02/07/2010,2010-07-02,322.0,39.2,121.79,147.2,25.96,0.0,17.7,280.3,373.0
03/07/2010,2010-07-03,302.6,32.8,108.45,128.87,20.91,0.0,16.22,270.4,342.6
04/07/2010,2010-07-04,279.9,28.1,100.36,121.83,22.38,0.45,18.4,222.5,343.4
05/07/2010,2010-07-05,292.9,37.9,129.33,154.77,26.37,0.36,17.45,268.5,327.7
06/07/2010,2010-07-06,315.8,40.5,128.18,159.2,31.88,0.27,20.03,264.9,358.8
07/07/2010,2010-07-07,336.6,42.7,126.82,158.51,33.01,0.79,20.82,279.1,392.2
08/07/2010,2010-07-08,347.7,43.4,124.81,154.31,30.01,0.15,19.45,315.5,375.4
09/07/2010,2010-07-09,341.6,43.0,125.77,150.36,24.9,0.0,16.56,320.3,369.0
10/07/2010,2010-07-10,335.0,37.9,113.11,129.86,17.17,0.06,13.59,297.9,387.1
11/07/2010,2010-07-11,301.9,33.3,110.45,118.86,9.31,0.33,8.52,248.6,359.1
12/07/2010,2010-07-12,349.5,48.0,137.36,144.37,8.36,0.86,6.47,271.3,383.0
13/07/2010,2010-07-13,386.3,49.1,126.99,147.66,21.34,0.27,14.53,328.0,428.9
14/07/2010,2010-07-14,350.8,43.9,125.24,145.49,22.22,1.6,15.27,316.3,391.4
15/07/2010,2010-07-15,388.5,51.7,133.19,144.56,12.67,1.0,9.47,352.1,442.1
16/07/2010,2010-07-16,375.2,51.4,136.86,146.28,11.65,1.94,8.08,339.3,402.4
17/07/2010,2010-07-17,404.8,49.6,122.58,127.82,6.15,0.62,6.7,364.6,433.3
18/07/2010,2010-07-18,414.9,48.3,116.39,118.45,3.6,1.28,8.16,354.2,457.5
19/07/2010,2010-07-19,399.5,56.8,142.14,145.15,3.89,0.65,4.93,351.3,477.5
20/07/2010,2010-07-20,368.7,54.8,148.57,147.63,0.64,1.34,3.64,317.6,410.6
21/07/2010,2010-07-21,401.5,56.4,140.34,147.45,8.01,0.7,5.96,377.1,462.6
22/07/2010,2010-07-22,407.9,55.3,135.64,146.22,11.89,1.12,8.66,337.6,443.0
23/07/2010,2010-07-23,415.9,54.5,130.93,147.73,18.77,1.74,12.76,295.0,469.9
24/07/2010,2010-07-24,438.4,49.4,112.66,130.57,19.19,1.03,14.7,366.7,490.6
25/07/2010,2010-07-25,420.7,44.8,106.55,121.37,15.86,0.79,13.4,339.5,495.0
26/07/2010,2010-07-26,378.7,52.6,138.8,154.09,16.92,1.39,11.79,278.9,444.0
27/07/2010,2010-07-27,384.6,52.3,136.05,160.11,25.91,1.61,16.3,291.7,450.4
28/07/2010,2010-07-28,419.5,54.6,130.25,160.04,30.46,0.37,19.03,367.0,494.1
29/07/2010,2010-07-29,436.9,57.5,131.56,159.31,28.35,0.34,17.8,401.3,508.2
30/07/2010,2010-07-30,442.2,56.5,127.67,155.59,29.16,1.0,18.74,389.7,488.8
31/07/2010,2010-07-31,480.6,54.9,114.21,132.43,18.49,0.0,13.96,434.3,562.4
01/08/2010,2010-08-01,432.3,40.5,93.77,119.48,27.9,1.82,23.35,351.7,527.3
02/08/2010,2010-08-02,392.6,49.7,126.66,140.46,17.21,3.04,12.88,307.3,443.2
03/08/2010,2010-08-03,404.9,51.8,127.89,146.23,21.8,3.17,14.91,315.5,457.3
04/08/2010,2010-08-04,425.0,53.6,126.09,148.57,23.28,0.55,15.67,374.7,490.3
05/08/2010,2010-08-05,414.8,53.1,128.0,147.11,20.43,1.09,14.41,336.6,457.3
06/08/2010,2010-08-06,419.9,53.8,128.16,147.53,22.01,2.42,15.08,315.8,490.0
07/08/2010,2010-08-07,447.9,49.8,111.24,133.12,23.1,0.99,17.35,396.3,492.5
08/08/2010,2010-08-08,441.4,42.6,96.42,123.54,27.59,0.12,22.33,364.1,525.3
09/08/2010,2010-08-09,452.8,57.0,125.91,146.61,21.46,0.52,14.72,395.5,530.1
10/08/2010,2010-08-10,454.3,59.4,130.67,151.41,22.92,1.97,15.14,409.0,559.3
11/08/2010,2010-08-11,421.3,54.0,128.27,149.3,23.53,2.17,15.76,373.4,491.7
12/08/2010,2010-08-12,395.6,52.1,131.58,144.29,19.69,6.69,13.65,348.6,427.5
13/08/2010,2010-08-13,365.4,45.0,123.16,140.87,22.75,4.69,16.29,270.1,429.3
14/08/2010,2010-08-14,356.3,37.8,106.17,125.44,20.43,0.74,16.28,248.5,445.6
15/08/2010,2010-08-15,392.2,35.4,90.3,117.27,27.4,0.0,23.36,298.2,474.0
16/08/2010,2010-08-16,409.0,44.2,108.06,131.73,25.48,1.44,19.54,294.2,495.5
17/08/2010,2010-08-17,483.4,50.8,105.18,131.9,28.02,1.0,21.24,442.6,561.9
18/08/2010,2010-08-18,429.8,50.8,118.28,132.41,17.49,3.09,13.29,375.0,505.4
19/08/2010,2010-08-19,454.6,53.6,117.79,132.61,16.12,1.07,12.46,372.9,520.7
20/08/2010,2010-08-20,486.9,58.0,119.17,134.41,15.46,0.0,11.69,402.5,558.9
21/08/2010,2010-08-21,475.1,52.0,109.4,124.66,15.55,0.03,12.59,378.3,551.6
22/08/2010,2010-08-22,460.0,46.7,101.43,115.89,15.0,0.23,13.28,370.5,571.6
23/08/2010,2010-08-23,412.0,51.5,125.0,133.88,14.52,5.32,11.33,361.7,494.1
24/08/2010,2010-08-24,489.6,58.9,120.33,136.88,17.98,1.23,13.25,410.4,544.8
25/08/2010,2010-08-25,488.2,59.8,122.4,141.14,20.37,1.35,14.43,401.0,566.8
26/08/2010,2010-08-26,439.3,55.9,127.36,143.11,18.7,2.42,13.07,383.6,512.9
27/08/2010,2010-08-27,431.5,55.8,129.42,141.98,13.77,0.66,10.2,386.0,496.7
28/08/2010,2010-08-28,435.8,46.8,107.41,126.53,21.41,1.88,16.92,406.5,463.5
29/08/2010,2010-08-29,451.5,46.7,103.48,120.23,18.82,1.79,15.66,377.0,506.4
30/08/2010,2010-08-30,441.3,58.7,132.96,145.9,13.95,0.74,10.52,394.0,491.5
31/08/2010,2010-08-31,413.7,56.5,136.58,148.85,13.62,1.01,9.96,377.5,474.9
01/09/2010,2010-09-01,460.3,58.7,127.6,147.29,19.92,0.0,13.53,394.3,561.5
02/09/2010,2010-09-02,448.1,62.1,138.61,146.26,8.5,0.53,7.38,403.0,512.2
03/09/2010,2010-09-03,449.7,61.2,136.18,146.4,10.68,0.04,8.25,412.8,527.8
04/09/2010,2010-09-04,486.4,60.4,124.24,127.34,3.48,0.11,5.23,396.8,572.3
05/09/2010,2010-09-05,486.3,54.5,112.0,117.47,7.13,1.37,8.28,388.4,570.3
06/09/2010,2010-09-06,453.2,61.7,136.04,143.05,9.51,2.25,7.24,398.9,548.9
07/09/2010,2010-09-07,387.8,53.7,138.4,144.63,10.8,4.26,8.51,311.5,479.3
08/09/2010,2010-09-08,464.6,60.0,129.14,143.53,15.35,0.65,10.9,415.2,523.3
09/09/2010,2010-09-09,470.3,65.4,139.16,144.78,6.02,0.18,6.25,405.2,561.9
10/09/2010,2010-09-10,470.2,63.2,134.34,145.49,11.92,0.51,8.95,419.2,520.7
11/09/2010,2010-09-11,475.6,56.5,118.78,126.75,8.3,0.0,7.52,389.9,564.4
12/09/2010,2010-09-12,379.5,39.0,102.7,118.29,16.84,0.71,14.24,299.7,457.2
13/09/2010,2010-09-13,398.7,54.6,136.96,147.17,11.87,1.15,10.32,317.7,520.7
14/09/2010,2010-09-14,450.4,59.5,132.14,152.78,22.45,1.37,14.75,382.7,558.3
15/09/2010,2010-09-15,473.0,59.8,126.51,150.54,25.28,0.87,16.8,414.9,590.2
16/09/2010,2010-09-16,495.3,60.7,122.53,149.19,27.94,0.97,18.73,444.6,580.9
17/09/2010,2010-09-17,478.1,59.5,124.43,146.7,27.66,5.05,18.85,425.1,563.4
18/09/2010,2010-09-18,472.0,55.8,118.3,126.75,11.26,2.4,10.16,392.7,514.4
19/09/2010,2010-09-19,483.1,48.3,99.95,117.53,20.33,2.27,17.34,378.9,544.2
20/09/2010,2010-09-20,481.9,60.0,124.43,141.91,18.45,0.62,13.25,434.1,540.2
21/09/2010,2010-09-21,511.8,63.7,124.47,143.67,21.96,2.48,15.29,450.5,582.1
22/09/2010,2010-09-22,497.7,60.8,122.25,143.77,23.49,1.69,16.36,424.8,601.3
23/09/2010,2010-09-23,491.0,59.6,121.48,145.04,25.58,1.77,17.64,405.0,590.5
24/09/2010,2010-09-24,447.5,52.9,118.26,144.72,28.17,1.4,19.47,378.6,540.1
25/09/2010,2010-09-25,404.2,44.3,109.48,124.08,20.02,5.01,16.14,341.6,439.4
26/09/2010,2010-09-26,377.7,36.9,97.69,114.24,21.13,4.08,18.49,276.8,458.5
27/09/2010,2010-09-27,475.0,55.5,116.91,138.6,23.35,1.3,16.96,409.2,573.9
28/09/2010,2010-09-28,506.2,59.3,117.15,142.77,27.72,1.9,19.41,457.1,557.3
29/09/2010,2010-09-29,498.7,58.0,116.29,143.4,30.11,2.79,21.0,423.6,567.0
30/09/2010,2010-09-30,453.3,59.5,131.27,142.61,13.61,2.1,10.16,399.1,496.8
01/10/2010,2010-10-01,468.0,60.0,128.11,141.31,15.53,2.1,11.67,417.1,502.0
